Historia,Epico,Descrição,Pessoa,Prioridade,Status,StoryPoints,CriteriosDeAceite,Sprint,DataDeCriacao,DataFim,Observacoes,Responsavel,Status,Tarefa,Contagem,
1. Cadastrar nova Obra ,Cadastro e Organização de Projetos (https://www.notion.so/Cadastro-e-Organiza-o-de-Projetos-262bf01892f5802d9091d80921e85025?pvs=21),"Como Gestor de obras, necessito cadastrar uma nova obra com dados iniciais para centralizar informações.",Gestor de Obras,Média,Backlog,3,"Deverá ter campos obrigatórios; Deverá haver validação dos campos preenchidos; Ao salvar, a obra deve aparecer na lista de projetos.",Sprint 1,2 de setembro de 2025 12:00 (BRT),5 de setembro de 2025 12:00 (BRT) → 12:00,,Dev1,To do,Criar formulário de cadastro de obra; Validar campos obrigatórios; ,1,TRUE
1.2 Editar dados de uma Obra,Cadastro e Organização de Projetos (https://www.notion.so/Cadastro-e-Organiza-o-de-Projetos-262bf01892f5802d9091d80921e85025?pvs=21),"Como gestor de obras, quero editar informações de um projeto já cadastrado, para manter os dados atualizados.",Gestor de Obras,Média,Backlog,2,Deverá permitir edição de todos os campos cadastrados; Alterações devem ser salvas e refletidas no dashboard; Histórico de alterações deve ficar disponível.,Sprint 2,2 de setembro de 2025 12:00 (BRT),5 de setembro de 2025 12:00 (BRT) → 12:00,,Dev2,To do,,1,TRUE
2. Registrar despesas da obra,Gestão de Custos e Orçamento (https://www.notion.so/Gest-o-de-Custos-e-Or-amento-262bf01892f5802aa26bcdf90834660d?pvs=21),"Como engenheiro de campo, quero lançar despesas diretamente no sistema, para atualizar o controle de custos em tempo real.",Engenheiro de Campo,Média,Backlog,5,"Deverá ser possível informar valor, categoria e fornecedor; O sistema deve associar automaticamente ao projeto selecionado; Despesa registrada deve atualizar saldo do orçamento.",Sprint 1,2 de setembro de 2025 12:00 (BRT),5 de setembro de 2025 12:00 (BRT) → 12:00,,Dev1,Doing,,1,TRUE
2.1 Visualizar Comparativos,Gestão de Custos e Orçamento (https://www.notion.so/Gest-o-de-Custos-e-Or-amento-262bf01892f5802aa26bcdf90834660d?pvs=21),"Como controller, quero visualizar o comparativo entre orçamento planejado e custos realizados, para identificar desvios financeiros.",Controller,Média,Backlog,8,"Deverá ser possível visualizar relatório de orçamentos, planejamentos e custos levantados.",Sprint 2,2 de setembro de 2025 12:00 (BRT),5 de setembro de 2025 12:00 (BRT) → 12:00,,PM/SM,Doing,,1,TRUE
3. Dashboard de status de obras,Dashboard e Relatórios Executivos (https://www.notion.so/Dashboard-e-Relat-rios-Executivos-262bf01892f58018a2c6ff8da33a86b5?pvs=21),"Como diretor financeiro, quero visualizar um dashboard com status das obras (andamento, custos, prazos), para ter uma visão consolidada.",Diretor Financeiro,Média,Backlog,8,Dashboard deve carregar em até 3 segundos; Deve ser possível filtrar por status da obra; Deve exibir custo planejado vs. realizado.,Sprint 1,2 de setembro de 2025 12:00 (BRT),5 de setembro de 2025 12:00 (BRT) → 12:00,,Dev1,Doing,,1,TRUE
3.1 Gerar relatório ,Dashboard e Relatórios Executivos (https://www.notion.so/Dashboard-e-Relat-rios-Executivos-262bf01892f58018a2c6ff8da33a86b5?pvs=21),"Como PMO, quero gerar relatórios executivos em PDF com indicadores-chave, para compartilhar com a diretoria.",PMO,Média,Backlog,5,Deverá ser possível gerar relatórios em PDF automatizados com KPI’s necessários para compartilhar com a diretoria.,Sprint 2,2 de setembro de 2025 12:00 (BRT),5 de setembro de 2025 12:00 (BRT) → 12:00,,Dev2,To do,,1,TRUE
4. Gerenciar perfis de usuário,Gestão de Usuários e Permissões (https://www.notion.so/Gest-o-de-Usu-rios-e-Permiss-es-262bf01892f580cb837fee7231ff810e?pvs=21),"Como administrador, quero definir diferentes níveis de acesso (diretoria, gestores, engenheiros), para garantir segurança e governança.",Admin,Média,Backlog,5,Usuário com perfil “diretoria” só pode visualizar relatórios/dashboards; Usuário com perfil “gestor” pode cadastrar/editar projetos; Usuário com perfil “engenheiro” pode registrar despesas.,Sprint 1,2 de setembro de 2025 12:00 (BRT),5 de setembro de 2025 12:00 (BRT) → 12:00,,Dev1,Doing,,1,TRUE
4.1 Auditoria de acessos,Gestão de Usuários e Permissões (https://www.notion.so/Gest-o-de-Usu-rios-e-Permiss-es-262bf01892f580cb837fee7231ff810e?pvs=21),"Como administrador, quero registrar logs de acesso por usuário, para garantir rastreabilidade.",Admin,Possibilidade,Backlog,3,Garantir rastreabilidade dos usuários cadastrados.,Sprint 2,2 de setembro de 2025 12:00 (BRT),5 de setembro de 2025 12:00 (BRT) → 12:00,,PM/SM,To do,,1,TRUE
4.2 Notificação de estouro de orçamento,Dashboard e Relatórios Executivos (https://www.notion.so/Dashboard-e-Relat-rios-Executivos-262bf01892f58018a2c6ff8da33a86b5?pvs=21),"Como gestor de obras, quero receber alertas quando o custo de um projeto ultrapassar o orçamento, para agir rapidamente.",Gestor de Obras,Média,Backlog,8,Garantir assertividade e proatividade na resolução de qualquer alerta.,Sprint 2,2 de setembro de 2025 12:00 (BRT),5 de setembro de 2025 12:00 (BRT) → 12:00,,Dev1,To do,,1,TRUE
1. Cadastrar nova Obra ,Cadastro e Organização de Projetos (https://www.notion.so/Cadastro-e-Organiza-o-de-Projetos-262bf01892f5802d9091d80921e85025?pvs=21),"Como Gestor de obras, necessito cadastrar uma nova obra com dados iniciais para centralizar informações.",Gestor de Obras,Média,Backlog,3,"Deverá ter campos obrigatórios; Deverá haver validação dos campos preenchidos; Ao salvar, a obra deve aparecer na lista de projetos.",Sprint 1,2 de setembro de 2025 12:00 (BRT),5 de setembro de 2025 12:00 (BRT) → 12:00,,Dev2,To do,Salvar dados no banco; Testes unitários,1,TRUE
1. Cadastrar nova Obra ,Cadastro e Organização de Projetos (https://www.notion.so/Cadastro-e-Organiza-o-de-Projetos-262bf01892f5802d9091d80921e85025?pvs=21),"Como Gestor de obras, necessito cadastrar uma nova obra com dados iniciais para centralizar informações.",Gestor de Obras,Média,Backlog,3,"Deverá ter campos obrigatórios; Deverá haver validação dos campos preenchidos; Ao salvar, a obra deve aparecer na lista de projetos.",Sprint 1,2 de setembro de 2025 12:00 (BRT),5 de setembro de 2025 12:00 (BRT) → 12:00,,PM/SM,Done,Revisão e validação,1,